Date,Time,Latitude,Longitude,Size,Utility,Facility Identification/Circuit,Circuit,closest_circuit,distance_to_match,utility_match,identifier
2017-12-21 00:00:00,23:40:00,34.179529,-118.133769,Less Than .25 Acres,SCE,,,gorge,2.543023640522909e-05,SCE,gorge_SCE
2017-12-05 00:00:00,11:38:00,33.95701,-117.861324,Less Than .25 Acres,SCE,,,brakeman,1.7154593501049923e-06,SCE,brakeman_SCE
2017-12-01 00:00:00,14:29:00,33.76145,-117.266669,.26 - 9.99 Acres,SCE,,,pawnee,5.680216360711587e-05,SCE,pawnee_SCE
2017-11-13 00:00:00,13:49:00,33.739098,-117.27778,Less Than .25 Acres,SCE,,,pawnee,4.47213584837921e-06,SCE,pawnee_SCE
2017-11-11 00:00:00,10:32:00,34.427116,-119.644052,Less Than .25 Acres,SCE,,,helena,2.550102265542971e-05,SCE,helena_SCE
2017-11-11 00:00:00,03:27:00,34.0044624,-117.6486525,Less Than .25 Acres,SCE,,,mosquito,0.02653433393563092,SCE,mosquito_SCE
2017-10-27 00:00:00,23:45:00,34.4569987133082,-119.564803619527,Less Than .25 Acres,SCE,,,sheffield,0.00010738501776568796,SCE,sheffield_SCE
2017-10-18 00:00:00,13:34:00,33.770208,-117.215667,.26 - 9.99 Acres,SCE,,,deacon,6.860673490354312e-05,SCE,deacon_SCE
2017-10-16 00:00:00,06:11:00,34.021742,-117.506912,.26 - 9.99 Acres,SCE,,,cabana,8.43533203726482e-05,SCE,cabana_SCE
2017-10-10 00:00:00,15:55:00,36.348622,-119.42202,Less Than .25 Acres,SCE,,,kingsburg,0.07279197413328004,PG&E,kingsburg_PG&E
2017-10-06 00:00:00,12:18:00,34.2530352,-118.7683783,Structure Only,SCE,,,hoss,4.6702827966835603e-05,SCE,hoss_SCE
2017-10-03 00:00:00,11:20:00,35.969334,-119.2977907,Less Than .25 Acres,SCE,,,alpaugh,0.0683171834348069,PG&E,alpaugh_PG&E
2017-09-29 00:00:00,15:09:00,36.3426512,-119.6343487,Less Than .25 Acres,SCE,,,hardwick,0.029527481817343892,PG&E,hardwick_PG&E
2017-09-28 00:00:00,20:34:00,33.748568,-116.945547,Less Than .25 Acres,SCE,,,erin,6.430526571076712e-05,SCE,erin_SCE
2017-09-27 00:00:00,18:40:00,34.155404,-118.6977299,Less Than .25 Acres,SCE,,,milo,0.0002856335903673547,SCE,milo_SCE
2017-09-22 00:00:00,13:26:00,34.0476499,-117.3985134,Less Than .25 Acres,SCE,,,highball,0.00045547531534548784,SCE,highball_SCE
